3060		DENMED	Dendrocoptes medius	Tammitikka	Mellanspett	Middle Spotted Woodpecker
3070		DENLEU	Dendrocopos leucotos	Valkoselkätikka	Vitryggig hackspett	White-backed Woodpecker
3080		DENMAJ	Dendrocopos major	Käpytikka	Större hackspett	Great Spotted Woodpecker
3090		DRYMIN	Dryobates minor	Pikkutikka	Mindre hackspett	Lesser Spotted Woodpecker
3100		Lahko	Falconiformes	Jalohaukkalinnut				
3110		FALNAU	Falco naumanni	Pikkutuulihaukka	Rödfalk	Lesser Kestrel
3120		FALTIN	Falco tinnunculus	Tuulihaukka	Tornfalk	Common Kestrel
3130		FALVES	Falco vespertinus	Punajalkahaukka	Aftonfalk	Red-footed Falcon
3140		FALCOL	Falco columbarius	Ampuhaukka	Stenfalk	Merlin
3150		FALELE	Falco eleonorae	Välimerenhaukka	Eleonorafalk	Eleonora's Falcon
3160		FALSUB	Falco subbuteo	Nuolihaukka	Lärkfalk	Eurasian Hobby
3170		FALPER	Falco peregrinus	Muuttohaukka	Pilgrimsfalk	Peregrine Falcon
3180		FALRUS	Falco rusticolus	Tunturihaukka	Jaktfalk	Gyrfalcon
3190		FALCHE	Falco cherrug	Aavikkohaukka	Tatarfalk	Saker Falcon
3200		Lahko	Passeriformes	Varpuslinnut				
3210		ORIORI	Oriolus oriolus	Kuhankeittäjä	Sommargylling	Eurasian Golden Oriole
3220		LANEXC	Lanius excubitor	Isolepinkäinen	Varfågel	Great Grey Shrike
3230		LANBOR	Lanius borealis	Taigaisolepinkäinen	Beringvarfågel	Northern Shrike
3240		LANNUB	Lanius nubicus	Valko-otsalepinkäinen	Masktörnskata	Masked Shrike
3250		LANMIN	Lanius minor	Mustaotsalepinkäinen	Svartpannad törnskata	Lesser Grey Shrike
3260		LANSEN	Lanius senator	Punapäälepinkäinen	Rödhuvad törnskata	Woodchat Shrike
